00000001    0046B238    N/A N/A N/A
00000002    0014C320    N/A N/A N/A
00000003    00122A10    N/A N/A N/A
00000004    000B8EA4    0003    006A8FAF    AlpcGetHeaderSize
00000197    001C4740    0196    006AB6D2    FsRtlLookupPerFileContext
00000198    000E1108    0197    006AB6EC    FsRtlLookupPerFileObjectContext
00000199    001C48A0    0198    006AB70C    FsRtlLookupPerStreamContextInternal
0000019A    001C4A98    0199    006AB730    FsRtlLookupReservedPerFileContext
0000019B    000E2E70    019A    006AB752    FsRtlLookupReservedPerStreamContext
0000019C    004938BC    019B    006AB776    FsRtlMdlRead
0000019D    001C2038    019C    006AB783    FsRtlMdlReadComplete
0000019E    0009E884    019D    006AB798    FsRtlMdlReadCompleteDev
0000019F    005C2BB0    019E    006AB7B0    FsRtlMdlReadDev
000001A0    00493850    019F    006AB7C0    FsRtlMdlReadEx
000001A1    005C2E58    01A0    006AB7CF    FsRtlMdlWriteComplete
000001A2    0048C834    01A1    006AB7E5    FsRtlMdlWriteCompleteDev
000001A3    005C3354    01A2    006AB7FE    FsRtlMupGetProviderIdFromName
000001A4    005C336C    01A3    006AB81C    FsRtlMupGetProviderInfoFromFileObject
000001A5    00105B68    01A4    006AB842    FsRtlNormalizeNtstatus
000001A6    005C4B04    01A5    006AB859    FsRtlNotifyChangeDirectory
000001A7    004568A8    01A6    006AB874    FsRtlNotifyCleanup
000001A8    005C4B58    01A7    006AB887    FsRtlNotifyCleanupAll
000001A9    00457550    01A8    006AB89D    FsRtlNotifyFilterChangeDirectory
000001AA    004569A0    01A9    006AB8BE    FsRtlNotifyFilterReportChange
000001AB    005C4C90    01AA    006AB8DC    FsRtlNotifyFullChangeDirectory
000001AC    005C4CEC    01AB    006AB8FB    FsRtlNotifyFullReportChange
000001AD    0049426C    01AC    006AB917    FsRtlNotifyInitializeSync
000001AE    005C4D3C    01AD    006AB931    FsRtlNotifyReportChange
000001AF    00496B84    01AE    006AB949    FsRtlNotifyUninitializeSync
000001B0    004AA30C    01AF    006AB965    FsRtlNotifyVolumeEvent
000001B1    0043517C    01B0    006AB97C    FsRtlNotifyVolumeEventEx
000001B2    000BC4EC    01B1    006AB995    FsRtlNumberOfRunsInBaseMcb
000001B3    001C266C    01B2    006AB9B0    FsRtlNumberOfRunsInLargeMcb
000001B4    001C2730    01B3    006AB9CC    FsRtlNumberOfRunsInMcb
000001B5    00456334    01B4    006AB9E3    FsRtlOplockBreakH
000001B6    001C309C    01B5    006AB9F5    FsRtlOplockBreakToNone
000001B7    001C30D4    01B6    006ABA0C    FsRtlOplockBreakToNoneEx
000001B8    00457944    01B7    006ABA25    FsRtlOplockFsctrl
000001B9    00457960    01B8    006ABA37    FsRtlOplockFsctrlEx
000001BA    00476948    01B9    006ABA4B    FsRtlOplockIsFastIoPossible
000001BB    0047EE74    01BA    006ABA67    FsRtlOplockIsSharedRequest
000001BC    001C32E4    01BB    006ABA82    FsRtlOplockKeysEqual
000001BD    001C4EDC    01BC    006ABA97    FsRtlPostPagingFileStackOverflow
000001BE    001C4EE4    01BD    006ABAB8    FsRtlPostStackOverflow
000001BF    004937C0    01BE    006ABACF    FsRtlPrepareMdlWrite
000001C0    005C2EBC    01BF    006ABAE4    FsRtlPrepareMdlWriteDev
000001C1    00493754    01C0    006ABAFC    FsRtlPrepareMdlWriteEx
000001C2    005C21F0    01C1    006ABB13    FsRtlPrepareToReuseEcp
000001C3    000DF348    01C2    006ABB2A    FsRtlPrivateLock
000001C4    00123EEC    01C3    006ABB3B    FsRtlProcessFileLock
000001C5    00494CAC    01C4    006ABB50    FsRtlQueryCachedVdl
000001C6    0048B374    01C5    006ABB64    FsRtlQueryKernelEaFile
000001C7    0013AEF0    01C6    006ABB7B    FsRtlQueryMaximumVirtualDiskNestingLevel
000001C8    0013A898    01C7    006ABBA4    FsRtlRegisterFileSystemFilterCallbacks
000001C9    0051028C    01C8    006ABBCB    FsRtlRegisterFltMgrCalls
000001CA    00510284    01C9    006ABBE4    FsRtlRegisterMupCalls
000001CB    005C3384    01CA    006ABBFA    FsRtlRegisterUncProvider
000001CC    0050A3F0    01CB    006ABC13    FsRtlRegisterUncProviderEx
000001CD    005C339C    01CC    006ABC2E    FsRtlRegisterUncProviderEx2
000001CE    000D21A0    01CD    006ABC4A    FsRtlReleaseEofLock
000001CF    003C78B8    01CE    006ABC5E    FsRtlReleaseFile
000001D0    005C454C    01CF    006ABC6F    FsRtlReleaseFileNameInformation
000001D1    000E1258    01D0    006ABC8F    FsRtlReleaseHeaderMutex
000001D2    000E9180    01D1    006ABCA7    FsRtlRemoveBaseMcbEntry
000001D3    004DD884    01D2    006ABCBF    FsRtlRemoveDotsFromPath
000001D4    00458160    01D3    006ABCD7    FsRtlRemoveExtraCreateParameter
000001D5    001C2738    01D4    006ABCF7    FsRtlRemoveLargeMcbEntry
000001D6    001C285C    01D5    006ABD10    FsRtlRemoveMcbEntry
000001D7    001C4AA8    01D6    006ABD24    FsRtlRemovePerFileContext
000001D8    000D6C1C    01D7    006ABD3E    FsRtlRemovePerFileObjectContext
000001D9    001C4C3C    01D8    006ABD5E    FsRtlRemovePerStreamContext
000001DA    001C4E98    01D9    006ABD7A    FsRtlRemoveReservedPerFileContext
000001DB    001C4EBC    01DA    006ABD9C    FsRtlRemoveReservedPerStreamContext
000001DC    000FD598    01DB    006ABDC0    FsRtlResetBaseMcb
000001DD    001C2868    01DC    006ABDD2    FsRtlResetLargeMcb
000001DE    0010FA50    01DD    006ABDE5    FsRtlSendModernAppTermination
000001DF    00473014    01DE    006ABE03    FsRtlSetEcpListIntoIrp
000001E0    004C0284    01DF    006ABE1A    FsRtlSetKernelEaFile
000001E1    001C2938    01E0    006ABE2F    FsRtlSplitBaseMcb
000001E2    001C2AB0    01E1    006ABE41    FsRtlSplitLargeMcb
000001E3    0048ECA0    01E2    006ABE54    FsRtlSyncVolumes
000001E4    0047C864    01E3    006ABE65    FsRtlTeardownPerFileContexts
000001E5    003C1420    01E4    006ABE82    FsRtlTeardownPerStreamContexts
000001E6    000E909C    01E5    006ABEA1    FsRtlTruncateBaseMcb
000001E7    000E8FD4    01E6    006ABEB6    FsRtlTruncateLargeMcb
000001E8    001C2BDC    01E7    006ABECC    FsRtlTruncateMcb
000001E9    00023DE4    01E8    006ABEDD    FsRtlTryToAcquireHeaderMutex
000001EA    0009DEC8    01E9    006ABEFA    FsRtlUninitializeBaseMcb
000001EB    000FCCE0    01EA    006ABF13    FsRtlUninitializeFileLock
000001EC    000FCE6C    01EB    006ABF2D    FsRtlUninitializeLargeMcb
000001ED    005C32F8    01EC    006ABF47    FsRtlUninitializeMcb
000001EE    000F0530    01ED    006ABF5C    FsRtlUninitializeOplock
000001EF    000F18F4    01EE    006ABF74    FsRtlUpdateDiskCounters
000001F0    005C35C0    01EF    006ABF8C    FsRtlUpperOplockFsctrl
000001F1    001107B0    01F0    006ABFA3    FsRtlValidateReparsePointBuffer
000001F2    002AA5D0    01F1    006ABFC3    HalDispatchTable
000001F3    00110680    01F2    006ABFD4    HalExamineMBR
000001F4    002AA280    01F3    006ABFE2    HalPrivateDispatchTable
000001F5    00137910    01F4    006ABFFA    HeadlessDispatch
000001F6    001C5440    01F5    006AC00B    HvlGetLpIndexFromApicId
000001F7    001C9184    01F6    006AC023    HvlPerformEndOfInterrupt
000001F8    001C57E8    01F7    006AC03C    HvlQueryActiveHypervisorProcessorCount
000001F9    001C5804    01F8    006AC063    HvlQueryActiveProcessors
000001FA    000CBFC8    01F9    006AC07C    HvlQueryConnection
000001FB    001C5870    01FA    006AC08F    HvlQueryHypervisorProcessorNodeNumber
000001FC    001C58AC    01FB    006AC0B5    HvlQueryNumaDistance
000001FD    001C5BD8    01FC    006AC0CA    HvlQueryProcessorTopology
000001FE    001C5C38    01FD    006AC0E4    HvlQueryProcessorTopologyCount
000001FF    001C5C68    01FE    006AC103    HvlQueryProcessorTopologyHighestId
00000200    001C520C    01FF    006AC126    HvlRegisterInterruptCallback
00000201    005C67C4    0200    006AC143    HvlRegisterWheaErrorNotification
00000202    001C5268    0201    006AC164    HvlUnregisterInterruptCallback
00000203    005C67FC    0202    006AC183    HvlUnregisterWheaErrorNotification
00000204    001CC1A4    0203    006AC1A6    InbvAcquireDisplayOwnership
00000205    001CC208    0204    006AC1C2    InbvCheckDisplayOwnership
00000206    0012CD30    0205    006AC1DC    InbvDisplayString
00000207    001CC224    0206    006AC1EE    InbvEnableBootDriver
00000208    001CC244    0207    006AC203    InbvEnableDisplayString
00000209    001CC298    0208    006AC21B    InbvInstallDisplayStringFilter
0000020A    0012BEDC    0209    006AC23A    InbvIsBootDriverInstalled
0000020B    0011C644    020A    006AC254    InbvNotifyDisplayOwnershipChange
0000020C    001CC2A0    020B    006AC275    InbvNotifyDisplayOwnershipLost
0000020D    001CC2E4    020C    006AC294    InbvResetDisplay
0000020E    001CC300    020D    006AC2A5    InbvSetScrollRegion
0000020F    001CC320    020E    006AC2B9    InbvSetTextColor
00000210    001CC33C    020F    006AC2CA    InbvSolidColorFill
00000211    002E2CE4    0210    006AC2DD    InitSafeBootMode
00000212    000F3278    0211    006AC2EE    InitializeSListHead
00000213    00154FC0    0212    006AC302    InterlockedPushListSList
00000214    000D6A0C    0213    006AC31B    IoAcquireCancelSpinLock
00000215    000EEE9C    0214    006AC333    IoAcquireRemoveLockEx
00000216    0007E17C    0215    006AC349    IoAcquireVpbSpinLock
00000217    0035CC30    0216    006AC35E    IoAdapterObjectType
00000218    001D0660    0217    006AC372    IoAdjustStackSizeForRedirection
00000219    001D0714    0218    006AC392    IoAllocateAdapterChannel
0000021A    001D071C    0219    006AC3AB    IoAllocateController
0000021B    00112694    021A    006AC3C0    IoAllocateDriverObjectExtension
0000021C    00123880    021B    006AC3E0    IoAllocateErrorLogEntry
0000021D    000B5870    021C    006AC3F8    IoAllocateIrp
0000021E    00080460    021D    006AC406    IoAllocateMdl
0000021F    0046F4C4    021E    006AC414    IoAllocateMiniCompletionPacket
00000220    001D0794    021F    006AC433    IoAllocateSfioStreamIdentifier
00000221    000F7DE4    0220    006AC452    IoAllocateWorkItem
00000222    000A2110    0221    006AC465    IoApplyPriorityInfoThread
00000223    005CEA90    0222    006AC47F    IoAssignResources
00000224    005C9504    0223    006AC491    IoAttachDevice
00000225    001D07D0    0224    006AC4A0    IoAttachDeviceByPointer
00000226    000BB29C    0225    006AC4B8    IoAttachDeviceToDeviceStack
00000227    000BB3E8    0226    006AC4D4    IoAttachDeviceToDeviceStackSafe
00000228    001D07F0    0227    006AC4F4    IoBoostThreadIo
00000229    000F3898    0228    006AC504    IoBuildAsynchronousFsdRequest
0000022A    000D0E90    0229    006AC522    IoBuildDeviceIoControlRequest
0000022B    000DEA40    022A    006AC540    IoBuildPartialMdl
0000022C    0047D97C    022B    006AC552    IoBuildSynchronousFsdRequest
0000022D    00123EE4    022C    006AC56F    IoCallDriver
0000022E    005C95E8    022D    006AC57C    IoCancelFileOpen
0000022F    000D4D1C    022E    006AC58D    IoCancelIrp
00000230    005C96FC    022F    006AC599    IoCheckDesiredAccess
00000231    00459864    0230    006AC5AE    IoCheckEaBufferValidity
00000232    004DEA24    0231    006AC5C6    IoCheckFunctionAccess
00000233    004DEFA4    0232    006AC5DC    IoCheckQuerySetFileInformation
00000234    004DF078    0233    006AC5FB    IoCheckQuerySetVolumeInformation
00000235    005C9734    0234    006AC61C    IoCheckQuotaBufferValidity
00000236    003C2704    0235    006AC637    IoCheckShareAccess
00000237    003C2720    0236    006AC64A    IoCheckShareAccessEx
00000238    000B5B60    0237    006AC65F    IoClearActivityIdThread
00000239    005CF554    0238    006AC677    IoClearDependency
0000023A    001D0848    0239    006AC689    IoClearIrpExtraCreateParameter
0000023B    000994F4    023A    006AC6A8    IoCompleteRequest
0000023C    0035C230    023B    006AC6BA    IoCompletionObjectType
0000023D    0050B560    023C    006AC6D1    IoConnectInterrupt
0000023E    004CEA90    023D    006AC6E4    IoConnectInterruptEx
0000023F    005C97E8    023E    006AC6F9    IoConvertFileHandleToKernelHandle
00000240    005C9938    023F    006AC71B    IoCopyDeviceObjectHint
00000241    004E9A08    0240    006AC732    IoCreateArcName
00000242    004E3E10    0241    006AC742    IoCreateController
00000243    003C1630    0242    006AC755    IoCreateDevice
00000244    005C651C    0243    006AC764    IoCreateDisk
00000245    004F7090    0244    006AC771    IoCreateDriver
00000246    00458CC0    0245    006AC780    IoCreateFile
00000247    00458D54    0246    006AC78D    IoCreateFileEx
00000248    00491100    0247    006AC79C    IoCreateFileSpecifyDeviceObjectHint
00000249    0050F65C    0248    006AC7C0    IoCreateNotificationEvent
0000024A    005C99B4    0249    006AC7DA    IoCreateStreamFileObject
0000024B    004C56D0    024A    006AC7F3    IoCreateStreamFileObjectEx
0000024C    003C2F48    024B    006AC80E    IoCreateStreamFileObjectEx2
0000024D    003C2F08    024C    006AC82A    IoCreateStreamFileObjectLite
0000024E    004923B8    024D    006AC847    IoCreateSymbolicLink
0000024F    005C99F4    024E    006AC85C    IoCreateSynchronizationEvent
00000250    00508420    024F    006AC879    IoCreateSystemThread
00000251    005C9A90    0250    006AC88E    IoCreateUnprotectedSymbolicLink
00000252    000F91E4    0251    006AC8AE    IoCsqInitialize
00000253    000FD67C    0252    006AC8BE    IoCsqInitializeEx
00000254    000EB8C0    0253    006AC8D0    IoCsqInsertIrp
00000255    000EB8C8    0254    006AC8DF    IoCsqInsertIrpEx
00000256    000F1D70    0255    006AC8F0    IoCsqRemoveIrp
00000257    000EC970    0256    006AC8FF    IoCsqRemoveNextIrp
00000258    001D1944    0257    006AC912    IoDecrementKeepAliveCount
00000259    0041BF0C    0258    006AC92C    IoDeleteAllDependencyRelations
0000025A    00480D88    0259    006AC94B    IoDeleteController
0000025B    000B64E0    025A    006AC95E    IoDeleteDevice
0000025C    00480D88    025B    006AC96D    IoDeleteDriver
0000025D    004DB5C4    025C    006AC97C    IoDeleteSymbolicLink
0000025E    0007D640    025D    006AC991    IoDetachDevice
0000025F    0035EE40    025E    006AC9A0    IoDeviceHandlerObjectSize
00000260    0035FA58    025F    006AC9BA    IoDeviceHandlerObjectType
00000261    0035C878    0260    006AC9D4    IoDeviceObjectType
00000262    004CE330    0261    006AC9E7    IoDisconnectInterrupt
00000263    004CB604    0262    006AC9FD    IoDisconnectInterruptEx
00000264    0035C1C0    0263    006ACA15    IoDriverObjectType
00000265    005CF600    0264    006ACA28    IoDuplicateDependency
00000266    005C9AE8    0265    006ACA3E    IoEnqueueIrp
00000267    001387D4    0266    006ACA4B    IoEnumerateDeviceObjectList
00000268    0050DEA0    0267    006ACA67    IoEnumerateRegisteredFiltersList
00000269    005C9AF0    0268    006ACA88    IoFastQueryNetworkAttributes
0000026A    0035C040    0269    006ACAA5    IoFileObjectType
0000026B    00485234    026A    006ACAB6    IoForwardAndCatchIrp
0000026C    00485234    026B    006ACACB    IoForwardIrpSynchronously
0000026D    001D0858    026C    006ACAE5    IoFreeController
0000026E    001D088C    026D    006ACAF6    IoFreeErrorLogEntry
0000026F    0009638C    026E    006ACB0A    IoFreeIrp
00000270    0009DEF0    026F    006ACB14    IoFreeMdl
00000271    0046EA94    0270    006ACB1E    IoFreeMiniCompletionPacket
00000272    001D08DC    0271    006ACB39    IoFreeSfioStreamIdentifier
00000273    000FA734    0272    006ACB54    IoFreeWorkItem
00000274    000E264C    0273    006ACB63    IoGetActivityIdIrp
00000275    000E9E84    0274    006ACB76    IoGetActivityIdThread
00000276    0013A258    0275    006ACB8C    IoGetAffinityInterrupt
00000277    00032EC0    0276    006ACBA3    IoGetAttachedDevice
00000278    0009ECF0    0277    006ACBB7    IoGetAttachedDeviceReference
00000279    0008B78C    0278    006ACBD4    IoGetBaseFileSystemDeviceObject
0000027A    005C9B28    0279    006ACBF4    IoGetBootDiskInformation
0000027B    004FA824    027A    006ACC0D    IoGetBootDiskInformationLite
0000027C    004E9FBC    027B    006ACC2A    IoGetConfigurationInformation
0000027D    005CA7B4    027C    006ACC48    IoGetContainerInformation
0000027E    00042C80    027D    006ACC62    IoGetCurrentProcess
0000027F    000B9CB8    027E    006ACC76    IoGetDeviceAttachmentBaseRef
00000280    00479120    027F    006ACC93    IoGetDeviceInterfaceAlias
00000281    005CEC84    0280    006ACCAD    IoGetDeviceInterfacePropertyData
00000282    00432098    0281    006ACCCE    IoGetDeviceInterfaces
00000283    004DB790    0282    006ACCE4    IoGetDeviceNumaNode
00000284    00394864    0283    006ACCF8    IoGetDeviceObjectPointer
00000285    003BED58    0284    006ACD11    IoGetDeviceProperty
00000286    004313F4    0285    006ACD25    IoGetDevicePropertyData
00000287    00113404    0286    006ACD3D    IoGetDeviceToVerify
00000288    001D09CC    0287    006ACD51    IoGetDiskDeviceObject
00000289    005074A4    0288    006ACD67    IoGetDmaAdapter
0000028A    000FCBF4    0289    006ACD77    IoGetDriverObjectExtension
0000028B    00476F40    028A    006ACD92    IoGetFileObjectGenericMapping
0000028C    0011006C    028B    006ACDB0    IoGetGenericIrpExtension
0000028D    005C9B3C    028C    006ACDC9    IoGetInitialStack
0000028E    000FD2F8    028D    006ACDDB    IoGetInitiatorProcess
0000028F    00032D6C    028E    006ACDF1    IoGetIoPriorityHint
00000290    00458080    028F    006ACE05    IoGetIrpExtraCreateParameter
00000291    000FCE9C    0290    006ACE22    IoGetLowerDeviceObject
00000292    001D0A54    0291    006ACE39    IoGetOplockKeyContext
00000293    000D8DA0    0292    006ACE4F    IoGetOplockKeyContextEx
00000294    000ECA70    0293    006ACE67    IoGetPagingIoPriority
00000295    00032E00    0294    006ACE7D    IoGetRelatedDeviceObject
00000296    000E9DE0    0295    006ACE96    IoGetRequestorProcess
00000297    000E9DC4    0296    006ACEAC    IoGetRequestorProcessId
00000298    001240F8    0297    006ACEC4    IoGetRequestorSessionId
00000299    0011A864    0298    006ACEDC    IoGetSfioStreamIdentifier
0000029A    0007B70C    0299    006ACEF6    IoGetStackLimits
0000029B    004E4178    029A    006ACF07    IoGetSymlinkSupportInformation
0000029C    000E12A8    029B    006ACF26    IoGetTopLevelIrp
0000029D    000E0600    029C    006ACF37    IoGetTransactionParameterBlock
0000029E    001D1A78    029D    006ACF56    IoIncrementKeepAliveCount
0000029F    000E8C18    029E    006ACF70    IoInitializeIrp
000002A0    005CA490    029F    006ACF80    IoInitializeMiniCompletionPacket
000002A1    000FC814    02A0    006ACFA1    IoInitializeRemoveLockEx
000002A2    0050F03C    02A1    006ACFBA    IoInitializeTimer
000002A3    000F6E60    02A2    006ACFCC    IoInitializeWorkItem
000002A4    000BB404    02A3    006ACFE1    IoInvalidateDeviceRelations
000002A5    00124070    02A4    006ACFFD    IoInvalidateDeviceState
000002A6    000D0B9C    02A5    006AD015    IoIs32bitProcess
000002A7    000EEFD4    02A6    006AD026    IoIsActivityTracingEnabled
000002A8    00492C9C    02A7    006AD041    IoIsFileObjectIgnoringSharing
000002A9    0007E5A4    02A8    006AD05F    IoIsFileOriginRemote
000002AA    00112DDC    02A9    006AD074    IoIsInitiator32bitProcess
000002AB    000D5574    02AA    006AD08E    IoIsOperationSynchronous
000002AC    000EF9AC    02AB    006AD0A7    IoIsSystemThread
000002AD    006744EC    02AC    006AD0B8    IoIsValidIrpStatus
000002AE    005CA980    02AD    006AD0CB    IoIsValidNameGraftingBuffer
000002AF    0050DCE4    02AE    006AD0E7    IoIsWdmVersionAvailable
000002B0    001CE808    02AF    006AD0FF    IoLoadCrashDumpDriver
000002B1    000F45C0    02B0    006AD115    IoMakeAssociatedIrp
000002B2    0051137C    02B1    006AD129    IoOpenDeviceInterfaceRegistryKey
000002B3    0048624C    02B2    006AD14A    IoOpenDeviceRegistryKey
000002B4    0002AA5C    02B3    006AD162    IoPageRead
000002B5    000F5664    02B4    006AD16D    IoPropagateActivityIdToThread
000002B6    000EE518    02B5    006AD18B    IoPropagateIrpExtension
000002B7    004D641C    02B6    006AD1A3    IoQueryDeviceDescription
000002B8    004A458C    02B7    006AD1BC    IoQueryFileDosDeviceName
000002B9    003951E8    02B8    006AD1D5    IoQueryFileInformation
000002BA    001D1BC8    02B9    006AD1EC    IoQueryFullDriverPath
000002BB    004ED420    02BA    006AD202    IoQueryVolumeInformation
000002BC    00124468    02BB    006AD21B    IoQueueThreadIrp
000002BD    000710D8    02BC    006AD22C    IoQueueWorkItem
000002BE    000717AC    02BD    006AD23C    IoQueueWorkItemEx
000002BF    001D1C84    02BE    006AD24E    IoQueueWorkItemToNode
000002C0    001D0A80    02BF    006AD264    IoRaiseHardError
000002C1    001D0D1C    02C0    006AD275    IoRaiseInformationalHardError
000002C2    00508060    02C1    006AD293    IoReadDiskSignature
000002C3    002DEAB8    02C2    006AD2A7    IoReadOperationCount
000002C4    004B9290    02C3    006AD2BC    IoReadPartitionTable
000002C5    004B8E60    02C4    006AD2D1    IoReadPartitionTableEx
000002C6    002DEAC8    02C5    006AD2E8    IoReadTransferCount
000002C7    005136B8    02C6    006AD2FC    IoRegisterBootDriverCallback
000002C8    0050901C    02C7    006AD319    IoRegisterBootDriverReinitialization
000002C9    004E3628    02C8    006AD33E    IoRegisterContainerNotification
000002CA    0048B554    02C9    006AD35E    IoRegisterDeviceInterface
000002CB    00509090    02CA    006AD378    IoRegisterDriverReinitialization
000002CC    004EA5D8    02CB    006AD399    IoRegisterFileSystem
000002CD    005C9BC4    02CC    006AD3AE    IoRegisterFsRegistrationChange
000002CE    0050C238    02CD    006AD3CD    IoRegisterFsRegistrationChangeMountAware
000002CF    005CB1A4    02CE    006AD3F6    IoRegisterIoTracking
000002D0    005C9BCC    02CF    006AD40B    IoRegisterLastChanceShutdownNotification
000002D1    004B9A24    02D0    006AD434    IoRegisterPlugPlayNotification
000002D2    0012CD50    02D1    006AD453    IoRegisterPriorityCallback
000002D3    00510644    02D2    006AD46E    IoRegisterShutdownNotification
000002D4    000EDEC8    02D3    006AD48D    IoReleaseCancelSpinLock
000002D5    0012BC40    02D4    006AD4A5    IoReleaseRemoveLockAndWaitEx
000002D6    000F0020    02D5    006AD4C2    IoReleaseRemoveLockEx
000002D7    000FCF08    02D6    006AD4D8    IoReleaseVpbSpinLock
000002D8    003C2698    02D7    006AD4ED    IoRemoveShareAccess
000002D9    005C9CEC    02D8    006AD501    IoReplaceFileObjectName
000002DA    005CEC8C    02D9    006AD519    IoReplacePartitionUnit
000002DB    004EE140    02DA    006AD530    IoReportDetectedDevice
000002DC    0070A3FC    02DB    006AD547    IoReportHalResourceUsage
000002DD    00119F2C    02DC    006AD560    IoReportInterruptActive
000002DE    0011A0D8    02DD    006AD578    IoReportInterruptInactive
000002DF    005D05B4    02DE    006AD592    IoReportResourceForDetection
000002E0    005D0794    02DF    006AD5AF    IoReportResourceUsage
000002E1    0050983C    02E0    006AD5C5    IoReportRootDevice
000002E2    004A80D4    02E1    006AD5D8    IoReportTargetDeviceChange
000002E3    000BC3B0    02E2    006AD5F3    IoReportTargetDeviceChangeAsynchronous
000002E4    001D5748    02E3    006AD61A    IoRequestDeviceEject
000002E5    001D5758    02E4    006AD62F    IoRequestDeviceEjectEx
000002E6    005CF708    02E5    006AD646    IoReserveDependency
000002E7    00134618    02E6    006AD65A    IoResolveDependency
000002E8    000E3608    02E7    006AD66E    IoRetrievePriorityInfo
000002E9    000E3BEC    02E8    006AD685    IoReuseIrp
000002EA    001D1060    02E9    006AD690    IoSetActivityIdIrp
000002EB    000B5B74    02EA    006AD6A3    IoSetActivityIdThread
000002EC    000F3300    02EB    006AD6B9    IoSetCompletionRoutineEx
000002ED    005CF774    02EC    006AD6D2    IoSetDependency
000002EE    0048F0B0    02ED    006AD6E2    IoSetDeviceInterfacePropertyData
000002EF    004349C0    02EE    006AD703    IoSetDeviceInterfaceState
000002F0    0050085C    02EF    006AD71D    IoSetDevicePropertyData
000002F1    001D10E8    02F0    006AD735    IoSetDeviceToVerify
000002F2    005C9DB8    02F1    006AD749    IoSetFileObjectIgnoreSharing
000002F3    00129790    02F2    006AD766    IoSetFileOrigin
000002F4    0010E4C8    02F3    006AD776    IoSetGenericIrpExtension
000002F5    000FCAC0    02F4    006AD78F    IoSetHardErrorOrVerifyDevice
000002F6    0049258C    02F5    006AD7AC    IoSetInformation
000002F7    004A4560    02F6    006AD7BD    IoSetIoCompletion
000002F8    000E7708    02F7    006AD7CF    IoSetIoCompletionEx
000002F9    000EE834    02F8    006AD7E3    IoSetIoPriorityHint
000002FA    001D10F0    02F9    006AD7F7    IoSetIoPriorityHintIntoFileObject
000002FB    001D1124    02FA    006AD819    IoSetIoPriorityHintIntoThread
000002FC    0047301C    02FB    006AD837    IoSetIrpExtraCreateParameter
000002FD    000ED5FC    02FC    006AD854    IoSetMasterIrpStatus
000002FE    004A8F40    02FD    006AD869    IoSetPartitionInformation
000002FF    004A8EAC    02FE    006AD883    IoSetPartitionInformationEx
00000300    003C1E2C    02FF    006AD89F    IoSetShareAccess
00000301    0007D924    0300    006AD8B0    IoSetShareAccessEx
00000302    0013B8DC    0301    006AD8C3    IoSetStartIoAttributes
00000303    005C9DDC    0302    006AD8DA    IoSetSystemPartition
00000304    000B5774    0303    006AD8EF    IoSetThreadHardErrorMode
00000305    0008B7C8    0304    006AD908    IoSetTopLevelIrp
00000306    001D249C    0305    006AD919    IoSizeofGenericIrpExtension
00000307    000F81B8    0306    006AD935    IoSizeofWorkItem
00000308    000D4FF0    0307    006AD946    IoStartNextPacket
00000309    001D11C0    0308    006AD958    IoStartNextPacketByKey
0000030A    000D4DD4    0309    006AD96F    IoStartPacket
0000030B    001D11F4    030A    006AD97D    IoStartTimer
0000030C    00355080    030B    006AD98A    IoStatisticsLock
0000030D    001D1218    030C    006AD99B    IoStopTimer
0000030E    000F822C    030D    006AD9A7    IoSynchronousCallDriver
0000030F    005CED5C    030E    006AD9BF    IoSynchronousInvalidateDeviceRelations
00000310    000BCDCC    030F    006AD9E6    IoSynchronousPageWrite
00000311    001D5984    0310    006AD9FD    IoTestDependency
00000312    000EC59C    0311    006ADA0E    IoThreadToProcess
00000313    001D1224    0312    006ADA20    IoTransferActivityId
00000314    001D5FB0    0313    006ADA35    IoTranslateBusAddress
00000315    00124558    0314    006ADA4B    IoTryQueueWorkItem
00000316    000F98B4    0315    006ADA5E    IoUninitializeWorkItem
00000317    007264AC    0316    006ADA75    IoUnregisterBootDriverCallback
00000318    005CA824    0317    006ADA94    IoUnregisterContainerNotification
00000319    005C9F44    0318    006ADAB6    IoUnregisterFileSystem
0000031A    005CA030    0319    006ADACD    IoUnregisterFsRegistrationChange
0000031B    005CB30C    031A    006ADAEE    IoUnregisterIoTracking
0000031C    004C0B20    031B    006ADB05    IoUnregisterPlugPlayNotification
0000031D    004AA700    031C    006ADB26    IoUnregisterPlugPlayNotificationEx
0000031E    001D1288    031D    006ADB49    IoUnregisterPriorityCallback
0000031F    003801F0    031E    006ADB66    IoUnregisterShutdownNotification
00000320    00476F48    031F    006ADB87    IoUpdateShareAccess
00000321    00111C1C    0320    006ADB9B    IoValidateDeviceIoControlAccess
00000322    005C6554    0321    006ADBBB    IoVerifyPartitionTable
00000323    005CA104    0322    006ADBD2    IoVerifyVolume
00000324    003945C0    0323    006ADBE1    IoVolumeDeviceToDosName
00000325    004C2728    0324    006ADBF9    IoVolumeDeviceToGuid
00000326    004C27A8    0325    006ADC0E    IoVolumeDeviceToGuidPath
00000327    0062BDFC    0326    006ADC27    IoWMIAllocateInstanceIds
00000328    004DB268    0327    006ADC40    IoWMIDeviceObjectToInstanceName
00000329    00122C10    0328    006ADC60    IoWMIDeviceObjectToProviderId
0000032A    0062BF40    0329    006ADC7E    IoWMIExecuteMethod
0000032B    004DB1F4    032A    006ADC91    IoWMIHandleToInstanceName
0000032C    004DB62C    032B    006ADCAB    IoWMIOpenBlock
